area,precondition,action,expected_outcome,backend_call,verified_by
Navigation,vm-running,click tab_dashboard,dashboard view renders; sidebar selection = dashboard,-,AppShellUITests
Navigation,vm-stopped,click tab_dashboard,dashboard view renders; sidebar selection = dashboard,-,AppShellUITests
Navigation,vm-running,click tab_containers,containers view renders; sidebar selection = containers,-,AppShellUITests
Navigation,vm-stopped,click tab_containers,containers view renders; sidebar selection = containers,-,AppShellUITests
Navigation,vm-running,click tab_images,images view renders; sidebar selection = images,-,AppShellUITests
Navigation,vm-stopped,click tab_images,images view renders; sidebar selection = images,-,AppShellUITests
Navigation,vm-running,click tab_volumes,volumes view renders; sidebar selection = volumes,-,AppShellUITests
Navigation,vm-stopped,click tab_volumes,volumes view renders; sidebar selection = volumes,-,AppShellUITests
Navigation,vm-running,click tab_networks,networks view renders; sidebar selection = networks,-,AppShellUITests
Navigation,vm-stopped,click tab_networks,networks view renders; sidebar selection = networks,-,AppShellUITests
Navigation,vm-running,click tab_kubernetes,kubernetes view renders; sidebar selection = kubernetes,-,AppShellUITests
Navigation,vm-stopped,click tab_kubernetes,kubernetes view renders; sidebar selection = kubernetes,-,AppShellUITests
Navigation,vm-running,click tab_machines,machines view renders; sidebar selection = machines,-,AppShellUITests
Navigation,vm-stopped,click tab_machines,machines view renders; sidebar selection = machines,-,AppShellUITests
Navigation,vm-running,click tab_profiles,profiles view renders; sidebar selection = profiles,-,AppShellUITests
Navigation,vm-stopped,click tab_profiles,profiles view renders; sidebar selection = profiles,-,AppShellUITests
Navigation,vm-running,click tab_configuration,configuration view renders; sidebar selection = configuration,-,AppShellUITests
Navigation,vm-stopped,click tab_configuration,configuration view renders; sidebar selection = configuration,-,AppShellUITests
Navigation,vm-running,click tab_ai,ai view renders; sidebar selection = ai,-,AppShellUITests
Navigation,vm-stopped,click tab_ai,ai view renders; sidebar selection = ai,-,AppShellUITests
Navigation,vm-running,click tab_runtimeControls,runtimeControls view renders; sidebar selection = runtimeControls,-,AppShellUITests
Navigation,vm-stopped,click tab_runtimeControls,runtimeControls view renders; sidebar selection = runtimeControls,-,AppShellUITests
Navigation,vm-running,click tab_monitoring,monitoring view renders; sidebar selection = monitoring,-,AppShellUITests
Navigation,vm-stopped,click tab_monitoring,monitoring view renders; sidebar selection = monitoring,-,AppShellUITests
Navigation,vm-running,click tab_community,community view renders; sidebar selection = community,-,AppShellUITests
Navigation,vm-stopped,click tab_community,community view renders; sidebar selection = community,-,AppShellUITests
Dashboard,vm-running,btn_start_vm,VM starts; status→running,colima start,ColimaLifecycleUITests
Dashboard,vm-running,btn_stop_vm,VM stops; status→stopped,colima stop,ColimaLifecycleUITests
Dashboard,vm-running,btn_restart_vm,VM restarts,colima restart,ColimaLifecycleUITests
Dashboard,vm-running,SSH,opens terminal sheet with ssh,colima ssh,ColimaLifecycleUITests
Dashboard,vm-running,SSH Config,shows ssh-config,colima ssh-config,ColimaLifecycleUITests
Dashboard,vm-running,Check & Update,runtime update flow,colima update,ColimaLifecycleUITests
Dashboard,vm-running,Start Prune,prunes caches,colima prune,ColimaLifecycleUITests
Dashboard,vm-running,Delete (keep data),confirm → delete VM keep data,colima delete,ColimaLifecycleUITests
Dashboard,vm-running,Delete + All Data,confirm → delete VM + data,colima delete --data,ColimaLifecycleUITests
Dashboard,vm-running,field_dashboard_terminal,runs entered command,Process exec,ColimaLifecycleUITests
Dashboard,vm-stopped,btn_start_vm,VM starts; status→running,colima start,ColimaLifecycleUITests
Dashboard,vm-stopped,btn_stop_vm,VM stops; status→stopped,colima stop,ColimaLifecycleUITests
Dashboard,vm-stopped,btn_restart_vm,VM restarts,colima restart,ColimaLifecycleUITests
Dashboard,vm-stopped,SSH,opens terminal sheet with ssh,colima ssh,ColimaLifecycleUITests
Dashboard,vm-stopped,SSH Config,shows ssh-config,colima ssh-config,ColimaLifecycleUITests
Dashboard,vm-stopped,Check & Update,runtime update flow,colima update,ColimaLifecycleUITests
Dashboard,vm-stopped,Start Prune,prunes caches,colima prune,ColimaLifecycleUITests
Dashboard,vm-stopped,Delete (keep data),confirm → delete VM keep data,colima delete,ColimaLifecycleUITests
Dashboard,vm-stopped,Delete + All Data,confirm → delete VM + data,colima delete --data,ColimaLifecycleUITests
Dashboard,vm-stopped,field_dashboard_terminal,runs entered command,Process exec,ColimaLifecycleUITests
Dashboard/ResourceAdvisor,vm-running + 0 running containers,render recommendations,shows: No-containers-running → Stop VM; values from real appState,vmStatus,ResourceAdvisor
Dashboard/ResourceAdvisor,low power mode on,render recommendations,shows: Low Power Mode → Adjust config; values from real appState,vmStatus,ResourceAdvisor
Dashboard/ResourceAdvisor,"cpu>=max(4,cores/2)",render recommendations,shows: Right-sizing → Adjust config; values from real appState,vmStatus,ResourceAdvisor
Dashboard/ResourceAdvisor,vm-stopped,render recommendations,shows: no recommendations shown; values from real appState,vmStatus,ResourceAdvisor
Containers,container state=running,btn_start_container,start no-op/disabled for running,startContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=running,btn_stop_container,stop → list refreshes,stopContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=running,btn_restart_container,restart → list refreshes,restartContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=running,btn_kill_container,kill → list refreshes,killContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=running,btn_remove_container,remove → list refreshes,removeContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=running,row select,show detail tabs → list refreshes,inspectContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,btn_start_container,start → list refreshes,startContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,btn_stop_container,stop no-op/disabled for exited,stopContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,btn_restart_container,restart → list refreshes,restartContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,btn_kill_container,kill no-op/disabled for exited,killContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,btn_remove_container,remove → list refreshes,removeContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=exited,row select,show detail tabs → list refreshes,inspectContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,btn_start_container,start → list refreshes,startContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,btn_stop_container,stop → list refreshes,stopContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,btn_restart_container,restart → list refreshes,restartContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,btn_kill_container,kill → list refreshes,killContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,btn_remove_container,remove → list refreshes,removeContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=paused,row select,show detail tabs → list refreshes,inspectContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,btn_start_container,start → list refreshes,startContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,btn_stop_container,stop no-op/disabled for created,stopContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,btn_restart_container,restart → list refreshes,restartContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,btn_kill_container,kill no-op/disabled for created,killContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,btn_remove_container,remove → list refreshes,removeContainer,RealBackendTests/ContainerManagementUITests
Containers,container state=created,row select,show detail tabs → list refreshes,inspectContainer,RealBackendTests/ContainerManagementUITests
Containers/Detail,container selected,detail tab Info,Info shows real data,inspectContainer,RealBackendTests
Containers/Detail,container selected,detail tab Stats,Stats shows real data,containerStats,RealBackendTests
Containers/Detail,container selected,detail tab Logs,Logs shows real data,containerLogs,RealBackendTests
Containers/Detail,container selected,detail tab Terminal,Terminal shows real data,exec,RealBackendTests
Containers/Detail,container selected,detail tab Files,Files shows real data,containerChanges,RealBackendTests
Containers/Create,create sheet open,name+image=nginx:latest → Create,row_container_<name> appears (image nginx:latest),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=postgres:16 → Create,row_container_<name> appears (image postgres:16),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=redis:7 → Create,row_container_<name> appears (image redis:7),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=mysql:8 → Create,row_container_<name> appears (image mysql:8),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=mongo:7 → Create,row_container_<name> appears (image mongo:7),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=node:20-alpine → Create,row_container_<name> appears (image node:20-alpine),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=python:3.12-slim → Create,row_container_<name> appears (image python:3.12-slim),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=httpd:2.4 → Create,row_container_<name> appears (image httpd:2.4),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=alpine:3.20 → Create,row_container_<name> appears (image alpine:3.20),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=busybox:latest → Create,row_container_<name> appears (image busybox:latest),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=traefik:v3 → Create,row_container_<name> appears (image traefik:v3),createContainer,ContainerImageConfigUITests
Containers/Create,create sheet open,name+image=mariadb:11 → Create,row_container_<name> appears (image mariadb:11),createContainer,ContainerImageConfigUITests
Containers/Create,empty name+image,Create disabled,btn disabled,-,ContainerImageConfigUITests
Containers/Create,invalid name,name error shown,validation error,-,ContainerImageConfigUITests
Images,empty-list,pull,pull → list reflects change,pullImage,RealBackendTests
Images,populated-list,pull,pull → list reflects change,pullImage,RealBackendTests
Images,empty-list,remove,remove → list reflects change,removeImage,RealBackendTests
Images,populated-list,remove,remove → list reflects change,removeImage,RealBackendTests
Images,empty-list,inspect,inspect → list reflects change,inspectImage,RealBackendTests
Images,populated-list,inspect,inspect → list reflects change,inspectImage,RealBackendTests
Images,empty-list,history,history → list reflects change,imageHistory,RealBackendTests
Images,populated-list,history,history → list reflects change,imageHistory,RealBackendTests
Images,empty-list,tag,tag → list reflects change,tagImage,RealBackendTests
Images,populated-list,tag,tag → list reflects change,tagImage,RealBackendTests
Images,empty-list,search,search → list reflects change,searchImages,RealBackendTests
Images,populated-list,search,search → list reflects change,searchImages,RealBackendTests
Images,empty-list,prune,prune → list reflects change,pruneImages,RealBackendTests
Images,populated-list,prune,prune → list reflects change,pruneImages,RealBackendTests
Volumes,empty-list,create,create → list reflects change,createVolume,RealBackendTests
Volumes,populated-list,create,create → list reflects change,createVolume,RealBackendTests
Volumes,empty-list,remove,remove → list reflects change,removeVolume,RealBackendTests
Volumes,populated-list,remove,remove → list reflects change,removeVolume,RealBackendTests
Volumes,empty-list,inspect,inspect → list reflects change,inspectVolume,RealBackendTests
Volumes,populated-list,inspect,inspect → list reflects change,inspectVolume,RealBackendTests
Volumes,empty-list,prune,prune → list reflects change,pruneVolumes,RealBackendTests
Volumes,populated-list,prune,prune → list reflects change,pruneVolumes,RealBackendTests
Networks,empty-list,create,create → list reflects change,createNetwork,RealBackendTests
Networks,populated-list,create,create → list reflects change,createNetwork,RealBackendTests
Networks,empty-list,remove,remove → list reflects change,removeNetwork,RealBackendTests
Networks,populated-list,remove,remove → list reflects change,removeNetwork,RealBackendTests
Networks,empty-list,inspect,inspect → list reflects change,inspectNetwork,RealBackendTests
Networks,populated-list,inspect,inspect → list reflects change,inspectNetwork,RealBackendTests
Networks,empty-list,connect,connect → list reflects change,connectNetwork,RealBackendTests
Networks,populated-list,connect,connect → list reflects change,connectNetwork,RealBackendTests
Networks,empty-list,disconnect,disconnect → list reflects change,disconnectNetwork,RealBackendTests
Networks,populated-list,disconnect,disconnect → list reflects change,disconnectNetwork,RealBackendTests
Networks,empty-list,prune,prune → list reflects change,pruneNetworks,RealBackendTests
Networks,populated-list,prune,prune → list reflects change,pruneNetworks,RealBackendTests
Kubernetes,k8s-enabled,btn_start_kubernetes_cluster,status/resources update,k8sStart,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_stop_kubernetes_cluster,status/resources update,k8sStop,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_reset_kubernetes_cluster,status/resources update,k8sReset,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_k8s_refresh,status/resources update,kubectlExec,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_getpods_kubernetes_all,status/resources update,kubectl get pods,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_getservices_kubernetes_all,status/resources update,kubectl get svc,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_getall_kubernetes_all,status/resources update,kubectl get all,KubernetesLifecycleUITests
Kubernetes,k8s-enabled,btn_clusterinfo_kubernetes_all,status/resources update,kubectl cluster-info,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_start_kubernetes_cluster,status/resources update,k8sStart,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_stop_kubernetes_cluster,status/resources update,k8sStop,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_reset_kubernetes_cluster,status/resources update,k8sReset,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_k8s_refresh,status/resources update,kubectlExec,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_getpods_kubernetes_all,status/resources update,kubectl get pods,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_getservices_kubernetes_all,status/resources update,kubectl get svc,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_getall_kubernetes_all,status/resources update,kubectl get all,KubernetesLifecycleUITests
Kubernetes,k8s-disabled,btn_clusterinfo_kubernetes_all,status/resources update,kubectl cluster-info,KubernetesLifecycleUITests
Kubernetes/Tabs,cluster running,switch to Pods,Pods table parsed from real kubectl json,kubectlExec,KubernetesLifecycleUITests
Kubernetes/Tabs,cluster running,switch to Services,Services table parsed from real kubectl json,kubectlExec,KubernetesLifecycleUITests
Kubernetes/Tabs,cluster running,switch to Deployments,Deployments table parsed from real kubectl json,kubectlExec,KubernetesLifecycleUITests
